hue,saturation,value,skin_tone
17.9293,52.645,178.4488,fair
23.887,101.4062,158.4245,fair
24.3639,101.0931,143.6283,fair
26.5961,93.3344,140.458,fair
11.1739,116.7789,139.7309,fair
12.6865,104.2969,158.3778,fair
13.7228,74.6664,169.4287,fair
16.9929,94.93,162.8821,fair
21.6847,96.885,174.6757,fair
10.7522,117.3819,186.1878,fair
26.2199,95.6951,156.5318,fair
15.8206,75.8427,184.5188,fair
50.9662,69.2656,155.0673,fair
12.3138,90.3175,167.0081,fair
13.2695,92.2462,133.1754,fair
34.9975,69.8075,177.8575,fair
12.6456,103.4656,190.3384,fair
11.2205,95.5367,178.2812,fair
12.6344,82.9589,181.8231,fair
13.5131,68.8156,181.5947,fair
22.7377,70.3805,169.0029,fair
23.7599,75.3886,154.9937,fair
10.884,66.9943,200.9402,fair
20.6825,61.5875,176.488,fair
20.4575,65.5107,134.8342,fair
32.771,62.0926,198.2017,fair
15.9195,105.6365,188.2402,fair
13.28,94.6774,140.177,fair
28.5895,102.4351,158.0672,fair
50.1218,76.5589,166.2908,fair
26.7473,72.5941,132.7258,fair
16.2076,71.8392,173.6918,fair
29.9131,64.5279,222.6579,fair
34.1175,40.8791,194.6155,fair
21.6799,70.6393,173.373,fair
12.4083,82.9503,181.3133,fair
21.4889,89.4982,170.3999,fair
10.8585,101.8073,172.4063,fair
52.423,63.9724,178.6429,fair
21.2214,108.2008,113.2055,fair
14.1145,102.8587,170.1968,fair
35.0061,62.5168,197.5969,fair
48.6182,57.0239,174.329,fair
10.7116,114.4606,158.2771,fair
33.0464,84.4158,153.7396,fair
20.4049,80.2996,132.616,fair
